# BEGIN DATA
Process=pp -> aj
Proc=aj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2018-06-26 19:08:43
# END DATA

# BEGIN HISTO1D aj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.400000e+03 1.600000e+03 1.030813e+00 6.135192e-05 6.135192e-05
1.600000e+03 1.800000e+03 1.033166e+00 8.305416e-05 8.305416e-05
1.800000e+03 2.000000e+03 1.035569e+00 1.122845e-04 1.122845e-04
2.000000e+03 2.200000e+03 1.038033e+00 3.412233e-05 3.412233e-05
2.200000e+03 2.400000e+03 1.040559e+00 4.037142e-05 4.037142e-05
2.400000e+03 2.600000e+03 1.043143e+00 5.167723e-05 5.167723e-05
2.600000e+03 2.800000e+03 1.045787e+00 6.665501e-05 6.665501e-05
2.800000e+03 3.000000e+03 1.048493e+00 8.619322e-05 8.619322e-05
3.000000e+03 6.500000e+03 1.052672e+00 8.015811e-05 8.015811e-05
# END HISTO1D

# BEGIN HISTO1D aj_pTV_d1K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.754741e-01 3.293952e-05 3.293952e-05
4.000000e+01 5.000000e+01 1.414190e-01 4.187224e-05 4.187224e-05
5.000000e+01 6.000000e+01 1.252587e-01 5.456323e-05 5.456323e-05
6.000000e+01 7.000000e+01 1.128691e-01 6.887225e-05 6.887225e-05
7.000000e+01 8.000000e+01 1.095883e-01 8.501451e-05 8.501451e-05
8.000000e+01 9.000000e+01 1.073041e-01 5.208184e-05 5.208184e-05
9.000000e+01 1.000000e+02 1.053571e-01 5.511489e-05 5.511489e-05
1.000000e+02 1.100000e+02 1.036710e-01 6.117944e-05 6.117944e-05
1.100000e+02 1.200000e+02 1.021873e-01 6.804344e-05 6.804344e-05
1.200000e+02 1.300000e+02 1.008689e-01 7.539582e-05 7.539582e-05
1.300000e+02 1.400000e+02 9.968110e-02 8.313774e-05 8.313774e-05
1.400000e+02 1.500000e+02 9.860243e-02 9.121989e-05 9.121989e-05
1.500000e+02 2.000000e+02 9.812418e-02 5.020114e-05 5.020114e-05
2.000000e+02 2.500000e+02 1.122864e-01 7.332236e-05 7.332236e-05
2.500000e+02 3.000000e+02 1.245466e-01 1.011530e-04 1.011530e-04
3.000000e+02 3.500000e+02 1.341796e-01 3.453686e-05 3.453686e-05
3.500000e+02 4.000000e+02 1.420899e-01 3.936570e-05 3.936570e-05
