# ptlow, pthigh, etalow, etahigh, correction, uncertainty
120.0 200.0 -1.566  -1.4442 0.974576103644 0.0498967885807
25.0  28.0  -1.4442 -1.1    0.633374710536 0.0273729891245
28.0  30.0  -1.4442 -1.1    0.800349676021 0.0204085802148
30.0  32.0  -1.4442 -1.1    0.886276831766 0.0214457753505
32.0  34.0  -1.4442 -1.1    0.912226990021 0.0216573338463
34.0  36.0  -1.4442 -1.1    0.935707824191 0.021655488655
36.0  38.0  -1.4442 -1.1    0.953379511063 0.0219039889808
38.0  40.0  -1.4442 -1.1    0.958026438919 0.0218231808356
40.0  42.0  -1.4442 -1.1    0.972843022596 0.021995762126
42.0  44.0  -1.4442 -1.1    0.977276044514 0.022238353855
44.0  46.0  -1.4442 -1.1    0.978373920576 0.0223399438215
46.0  48.0  -1.4442 -1.1    0.983763163667 0.0222551662569
48.0  50.0  -1.4442 -1.1    0.982246207366 0.0227558340721
50.0  55.0  -1.4442 -1.1    0.979017300527 0.0226941052775
55.0  60.0  -1.4442 -1.1    0.968755007291 0.0227774920574
60.0  65.0  -1.4442 -1.1    0.973265800571 0.0232705798076
65.0  70.0  -1.4442 -1.1    0.972796857359 0.0240595637397
70.0  80.0  -1.4442 -1.1    0.977406767453 0.0234553790886
80.0  90.0  -1.4442 -1.1    0.974088485804 0.0236613826989
90.0  100.0 -1.4442 -1.1    0.998784890313 0.0248648681666
100.0 120.0 -1.4442 -1.1    0.984091493437 0.0244722306567
120.0 200.0 -1.4442 -1.1    0.980689841537 0.022635751835
25.0  28.0  -1.1    -0.8    0.816640442099 0.0303782916217
28.0  30.0  -1.1    -0.8    0.907444329436 0.022552844763
30.0  32.0  -1.1    -0.8    0.961850605251 0.0226584335727
32.0  34.0  -1.1    -0.8    0.971521254434 0.0224194522181
34.0  36.0  -1.1    -0.8    0.987465469302 0.0230113950812
36.0  38.0  -1.1    -0.8    0.991623831264 0.0230281205331
38.0  40.0  -1.1    -0.8    0.99684921959  0.0225591173479
40.0  42.0  -1.1    -0.8    1.00166639437  0.0226319171417
42.0  44.0  -1.1    -0.8    1.00498961121  0.0226299216813
44.0  46.0  -1.1    -0.8    0.9991486858   0.022604757042
46.0  48.0  -1.1    -0.8    0.999807015513 0.0226182604168
48.0  50.0  -1.1    -0.8    0.998576671286 0.0226215902113
50.0  55.0  -1.1    -0.8    0.997274624748 0.0226696260068
55.0  60.0  -1.1    -0.8    0.990368811524 0.0227447263592
60.0  65.0  -1.1    -0.8    0.9926455986   0.0235022149472
65.0  70.0  -1.1    -0.8    1.0027679704   0.024354001536
70.0  80.0  -1.1    -0.8    0.979950471136 0.0231401892943
80.0  90.0  -1.1    -0.8    0.996607631154 0.0243230811168
90.0  100.0 -1.1    -0.8    0.998784890313 0.0248648681666
100.0 120.0 -1.1    -0.8    0.984091493437 0.0244722306567
120.0 200.0 -1.1    -0.8    0.980689841537 0.022635751835
25.0  28.0  -0.8    -0.6    0.832957467128 0.0360975158286
28.0  30.0  -0.8    -0.6    0.919195311498 0.0237865680872
30.0  32.0  -0.8    -0.6    0.956379828764 0.024038528709
32.0  34.0  -0.8    -0.6    0.983737170945 0.0235527511572
34.0  36.0  -0.8    -0.6    1.00945421642  0.0235103738859
36.0  38.0  -0.8    -0.6    1.00294010351  0.0229439105157
38.0  40.0  -0.8    -0.6    1.01372740862  0.0235830566741
40.0  42.0  -0.8    -0.6    1.00948727738  0.0231937775932
42.0  44.0  -0.8    -0.6    1.01643767946  0.0229758710362
44.0  46.0  -0.8    -0.6    1.01388924592  0.0231177146561
46.0  48.0  -0.8    -0.6    1.0120952394   0.0236663520791
48.0  50.0  -0.8    -0.6    1.01382446946  0.0237509883172
50.0  55.0  -0.8    -0.6    1.00413572435  0.0228637220773
55.0  60.0  -0.8    -0.6    0.999870965603 0.0254630590619
60.0  65.0  -0.8    -0.6    1.00198019845  0.0252557247523
65.0  70.0  -0.8    -0.6    0.991916587058 0.0265338975096
70.0  80.0  -0.8    -0.6    0.994975577907 0.0241052658392
80.0  90.0  -0.8    -0.6    0.984424031181 0.0247795518428
90.0  100.0 -0.8    -0.6    0.986359189491 0.0240262840469
100.0 120.0 -0.8    -0.6    0.99475413752  0.0240033056814
120.0 200.0 -0.8    -0.6    0.978156463976 0.0227176378591
25.0  28.0  -0.6    -0.4    0.875250802388 0.0440336724062
28.0  30.0  -0.6    -0.4    0.891370482532 0.0229057264273
30.0  32.0  -0.6    -0.4    0.938702312598 0.0225060616644
32.0  34.0  -0.6    -0.4    0.972011156936 0.022830349628
34.0  36.0  -0.6    -0.4    0.994476919785 0.0230347637929
36.0  38.0  -0.6    -0.4    0.998752040344 0.0232165813662
38.0  40.0  -0.6    -0.4    1.01046564363  0.0230679254767
40.0  42.0  -0.6    -0.4    1.0137069466   0.0230843338992
42.0  44.0  -0.6    -0.4    1.01550091544  0.022985267733
44.0  46.0  -0.6    -0.4    1.01726341247  0.0230469326843
46.0  48.0  -0.6    -0.4    1.01670319068  0.0232510755841
48.0  50.0  -0.6    -0.4    1.00338017155  0.0237815688435
50.0  55.0  -0.6    -0.4    1.01083927291  0.0231894976845
55.0  60.0  -0.6    -0.4    0.996759914135 0.026176118252
60.0  65.0  -0.6    -0.4    1.00012217063  0.02791494678
65.0  70.0  -0.6    -0.4    0.997750972081 0.0264472276139
70.0  80.0  -0.6    -0.4    0.992945567976 0.0239660973414
80.0  90.0  -0.6    -0.4    0.995459439731 0.0251513104783
90.0  100.0 -0.6    -0.4    0.986359189491 0.0240262840469
100.0 120.0 -0.6    -0.4    0.99475413752  0.0240033056814
120.0 200.0 -0.6    -0.4    0.978156463976 0.0227176378591
25.0  28.0  -0.4    -0.2    0.827426058653 0.0354063236047
28.0  30.0  -0.4    -0.2    0.829783971569 0.0224945924234
30.0  32.0  -0.4    -0.2    0.906826184712 0.0223153809358
32.0  34.0  -0.4    -0.2    0.960305144149 0.0231691258278
34.0  36.0  -0.4    -0.2    0.968073057588 0.0226736005505
36.0  38.0  -0.4    -0.2    0.988655727486 0.0228600278183
